0,1,2
<p>Indoor show</p><p>18+</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},"[""music"",""indoor"",""18+""]"
"<p>Superfecta Band, one of the Southeast's premier professional events band. Based in Lexington, Kentucky and founded in 2007, Superfecta quickly evolved into The region's most celebrated high-energy dance and party band. Superfecta has been the featured entertainment for countless weddings, corporate functions, fundraisers, festivals, Kentucky Derby events, and many State events including headlining Derby Parties at the Governor's Mansion and the Kentucky Governor's Inaugural Ball in 2012 and 2020.</p>",{music},"[""music"",""band"",""dance"",""party"",""festival"",""events""]"
<p>The UK Dance Ensemble: Fall Show 2023 in the SCFA Recital Hall.</p><p>General Admission.</p>,{dance},"[""dance"",""music"",""theater""]"
"<p><span style=""color: rgb(5, 5, 5);"">Come join our friends Casen &amp; Snazzy D of Restless Leg String Band for an afternoon of live music!</span></p>",{music},"[""music"",""folk"",""live-music"",""string-band""]"
"<p>Join us on Zoom for a virtual discussion with 2nd Story exhibiting artist Israel Campos, in conversation with a distinguished slate of panelists, including Dr. Martina Ayala, Professor Emeritus Jim Escalante, and Dr. Jennifer Gonzales. </p><p><br></p><p>This discussion will center around the historical legacies and present-day cultural concerns embedded within Israel Campos’ work. Specifically, the program will dive into the ways in which the artist merges ancient Mesoamerican glyphs and contemporary Chicano/a body styling; his thoughts about representation, particularly in regards to gender and queerness; how spatial contexts determine his material choices and narrative strategies; and the disproportional impact of climate change on Latinx communities, among other topics.</p><p><br></p><p class=""ql-align-center""><strong>Monday, June 3 | 5:00 to 6:00 PM</strong></p><p class=""ql-align-center""><a href=""https://zoom.us/j/95909160166"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 0, 0);""><strong>Click to join</strong></a><strong>: </strong><a href=""https://zoom.us/j/95909160166"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 0, 0);""><strong>https://zoom.us/j/95909160166</strong></a> </p><p><br></p><p>---</p><p><br></p><p><strong>PANELIST BIOS</strong></p><p><a href=""https://www.martinalalatina.com/"" rel=""noopener noreferrer"" target=""_blank"">Dr.Martina Ayala</a> is currently the Executive Director for the <a href=""https://missionculturalcenter.org/"" rel=""noopener noreferrer"" target=""_blank"">Mission Cultural Center for Latino Arts</a>.&nbsp;She is a curator, educator, filmmaker, and visionary leader. For over 35 years, she has curated art exhibits, produced concerts and cultural events, and led innovative programs, schools, and organizations serving inter-generational multicultural communities.&nbsp;</p><p>As a scholar and activist with a Doctorate in International and Multicultural Education from the University of San Francisco, her life’s work has focused on Chicano cinema, community, literacy, and spirituality. She is currently committed to preserving, developing, and promoting Latin American and Chicano(a) art history, specifically protecting the print poster archives created by Latinx artists at Mission Cultural Center for Latino Arts (MCCLA) over the past 46 years. As a transformative leader and coach, she supports folks seeking to understand their purpose and truth.</p><p><br></p><p><a href=""https://%20https//www.israelcampos.art"" rel=""noopener noreferrer"" target=""_blank"">Israel Campos</a> is an interdisciplinary, queer, L.A.-based artist that works with paintings, print media, digital media, and artist books. His work embraces the art tradition from Mesoamerica to explore how historical events are interconnected and reverberate into the present.</p><p>Israel graduated with a bachelors from the University of California Santa Cruz in 2011 and acquired an MFA from the University of Wisconsin‐Madison in 2015. His work is in the permanent collections of the Kohler Art Library, the UCSC Digital Art Research Center, the Zuckerman Museum of Art, and the Oregon College of Art and Craft. He has exhibited in venues across the country, including the ArtHelix Gallery in New York City, the Ronna and Eric Hoffman Gallery of Contemporary Art in Portland and is an active member of the Vox Pop printmaking artist collective and the California Society of Printmakers. He also runs and operates Chayote Press.</p><p><br></p><p><a href=""http://jimescalante.com/"" rel=""noopener noreferrer"" target=""_blank"">Jim Escalante</a> is an artist and professor emeritus from the University of Wisconsin-Madison, where he taught graphic design, artists books and photography for 30 years. In addition to teaching, he served as Department Chair of the Department of Art, as well as the Director of Chicano/a Studies in the early 1990s and finally as an Associate Dean for Faculty.&nbsp;</p><p>He earned a Bachelor of Fine Arts degree in Photography from North Texas State University and a Master of Fine Arts with a focus in Typography and Photography from the University of Wisconsin – Madison. He established Iguana Press, a fine press, in 1978 which is dedicated to making books that combine letterpress printing with hand papermaking and traditional book binding. The ability to collaborate with artists and writers has been central to his creative work in design, book printing and photography.</p><p><br></p><p class=""ql-align-justify""><a href=""https://havc.ucsc.edu/faculty/jennifer-gonz%C3%A1lez"" rel=""noopener noreferrer"" target=""_blank"">Dr. Jennifer A. González</a> is Professor of History of Art and Visual Culture at the University of California, Santa Cruz, and a faculty member in the Whitney Museum Independent Study Program, New York. Her research engages theoretical discourses of feminism, diaspora, and decoloniality in contemporary art.</p><p>She has articles in numerous scholarly journals such as, Camera Obscura, Art Journal, and Aztlán and has published several books, including, Subject to Display: Reframing Race in Contemporary Installation Art and Chicano and Chicana Art: A Critical Anthology which was included in the top art books of the decade in 2020 by ArtNews magazine.</p>","{gallery,talk}","[""gallery"",""talk"",""chicano-art"",""indigenous-art"",""queer-art"",""art-history"",""latinx-art"",""printmaking"",""book-arts"",""climate-change""]"
"<p>Featuring:</p><ul><li>Tim Mars</li><li>Roy Haber</li><li>Rich Ragains</li><li>Madison Pohl</li></ul><p><strong><em>TICKETS ARE NON-REFUNDABLE - ALL SALES ARE FINAL</em></strong></p><p>Doors open 30 minutes prior to the show</p><p>All shows are 18 and up with ID</p><p>One Drink Minimum, Must be 21 with valid ID to purchase alcohol.</p>",{comedy},"[""comedy"",""music"",""festival"",""talk"",""18-and-up"",""one-drink-minimum""]"
<p>Doors at 7pm</p><p>Music at 9pm</p>,"{music,holiday}","[""music"",""concert""]"
"<p>Live bands, food trucks, casino, wine tasting, beer garden, raffle items, kids' games with prizes, bouncy houses, Kona ice, and more!</p>",{festival},"[""festival"",""music"",""food"",""family""]"
"<p>Whether we're your first or last stop during Art Hop, we've got just what you need to enhance your evening, with our infused cocktails (or mocktails), 16 featured artists, live music &amp; FREE parking!</p>",{music},"[""gallery"",""music"",""festival""]"
"<p>See website for COVID requirements, if any</p><p>(Beginner lesson 7:30-8:00 PM)</p><p>Information: 859-552-5433 or website</p><p>Lexington Traditional Dance Association</p>",{dance},"[""dance"",""music"",""beginner-lesson"",""traditional"",""festival""]"
<p>w/ Carriers</p><p><em>OUTDOOR SHOW</em></p><p>All ages</p><p>Doors 6:30 PM</p>,{music},"ERROR: HttpException: Unable to get a valid response from third party tag provider: [
    {
        ""status"": 429,
        ""headers"": {
            ""anthropic-ratelimit-requests-limit"": ""50"",
            ""anthropic-ratelimit-requests-remaining"": ""0"",
            ""anthropic-ratelimit-requests-reset"": ""2024-08-18T23:24:31Z"",
            ""anthropic-ratelimit-tokens-limit"": ""40000"",
            ""anthropic-ratelimit-tokens-remaining"": ""32000"",
            ""anthropic-ratelimit-tokens-reset"": ""2024-08-18T23:23:45Z"",
            ""cf-cache-status"": ""DYNAMIC"",
            ""cf-ray"": ""8b55a6fb0bd62d21-IAD"",
            ""connection"": ""keep-alive"",
            ""content-length"": ""350"",
            ""content-type"": ""application/json"",
            ""date"": ""Sun, 18 Aug 2024 23:23:33 GMT"",
            ""request-id"": ""req_01TYPxu8jp6fRLYJ5fX7LN8S"",
            ""retry-after"": ""58"",
            ""server"": ""cloudflare"",
            ""via"": ""1.1 google"",
            ""x-cloud-trace-context"": ""101fb37cba228b437a719ec6747bbcc8"",
            ""x-robots-tag"": ""none"",
            ""x-should-retry"": ""true""
        },
        ""request_id"": ""req_01TYPxu8jp6fRLYJ5fX7LN8S"",
        ""error"": {
            ""type"": ""error"",
            ""error"": {
                ""type"": ""rate_limit_error"",
                ""message"": ""Number of requests has exceeded your per-minute rate limit (https://docs.anthropic.com/en/api/rate-limits); see the response headers for current usage. Please try again later or contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""
            }
        }
    },
    {
        ""status"": 429,
        ""headers"": {
            ""anthropic-ratelimit-requests-limit"": ""50"",
            ""anthropic-ratelimit-requests-remaining"": ""0"",
            ""anthropic-ratelimit-requests-reset"": ""2024-08-18T23:25:31Z"",
            ""anthropic-ratelimit-tokens-limit"": ""40000"",
            ""anthropic-ratelimit-tokens-remaining"": ""14000"",
            ""anthropic-ratelimit-tokens-reset"": ""2024-08-18T23:25:11Z"",
            ""cf-cache-status"": ""DYNAMIC"",
            ""cf-ray"": ""8b55a86ddec53b3e-IAD"",
            ""connection"": ""keep-alive"",
            ""content-length"": ""350"",
            ""content-type"": ""application/json"",
            ""date"": ""Sun, 18 Aug 2024 23:24:32 GMT"",
            ""request-id"": ""req_01FKD1W8vc4KFsWnaMx5q9CZ"",
            ""retry-after"": ""59"",
            ""server"": ""cloudflare"",
            ""via"": ""1.1 google"",
            ""x-cloud-trace-context"": ""3245e4bf4a3a3812e2940b372b442d40"",
            ""x-robots-tag"": ""none"",
            ""x-should-retry"": ""true""
        },
        ""request_id"": ""req_01FKD1W8vc4KFsWnaMx5q9CZ"",
        ""error"": {
            ""type"": ""error"",
            ""error"": {
                ""type"": ""rate_limit_error"",
                ""message"": ""Number of requests has exceeded your per-minute rate limit (https://docs.anthropic.com/en/api/rate-limits); see the response headers for current usage. Please try again later or contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""
            }
        }
    },
    {
        ""status"": 429,
        ""headers"": {
            ""anthropic-ratelimit-requests-limit"": ""50"",
            ""anthropic-ratelimit-requests-remaining"": ""0"",
            ""anthropic-ratelimit-requests-reset"": ""2024-08-18T23:26:31Z"",
            ""anthropic-ratelimit-tokens-limit"": ""40000"",
            ""anthropic-ratelimit-tokens-remaining"": ""14000"",
            ""anthropic-ratelimit-tokens-reset"": ""2024-08-18T23:26:11Z"",
            ""cf-cache-status"": ""DYNAMIC"",
            ""cf-ray"": ""8b55a9e6aaab6fa3-IAD"",
            ""connection"": ""keep-alive"",
            ""content-length"": ""350"",
            ""content-type"": ""application/json"",
            ""date"": ""Sun, 18 Aug 2024 23:25:32 GMT"",
            ""request-id"": ""req_018RnUKdY1EHFpDmJ4r1vrV8"",
            ""retry-after"": ""59"",
            ""server"": ""cloudflare"",
            ""via"": ""1.1 google"",
            ""x-cloud-trace-context"": ""330fc899db687933e5dcfb45378619d9"",
            ""x-robots-tag"": ""none"",
            ""x-should-retry"": ""true""
        },
        ""request_id"": ""req_018RnUKdY1EHFpDmJ4r1vrV8"",
        ""error"": {
            ""type"": ""error"",
            ""error"": {
                ""type"": ""rate_limit_error"",
                ""message"": ""Number of requests has exceeded your per-minute rate limit (https://docs.anthropic.com/en/api/rate-limits); see the response headers for current usage. Please try again later or contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""
            }
        }
    }
]"
"<p>Brian Bates is a Nashville based comedian who tours the country performing at comedy clubs, theaters, corporate events, and churches. You may have seen his Dry Bar Comedy specials or heard him as a guest on The Grand Ole Opry.</p><p>He can also be heard regularly on LaughUSA on SiriusXM radio. When not on the road, Brian joins fellow comedians Nate Bargatze, Aaron Weber and Dusty Slay as one of the hosts of the <em>NateLand Podcast</em>, which is heard by thousands of listeners each week.</p><p><strong><em>TICKETS ARE NON-REFUNDABLE - ALL SALES ARE FINAL</em></strong></p><p>Doors open 30 minutes prior to the show</p><p>All shows are 18 and up with ID</p><p>One Drink Minimum, Must be 21 with valid ID to purchase alcohol.</p>",{comedy},"[""comedy"",""music"",""talk"",""festival""]"
"<p>Tap your toes and sing along in this splashy adaptation of the world's most celebrated movie musical!</p><p><em>Singin' in the Rain, JR.</em> has all the makings of a Tinseltown tabloid headline — the starlet, the leading man and a love affair that could change lives and make or break careers! In silent movies, Don Lockwood and Lina Lamont are a hot item, but behind the scenes, things aren't always as they appear on the big screen! Meanwhile, Lina's squeaky voice might be the end of her career in ""talking pictures"" without the help of a talented young actress to do the talking and singing for her.</p><p><em>Singin' in the Rain JR</em> is performed by a talented cast of young performers, making this a show you won't want to miss! </p><p>This show is directed by Ellie Miller and music directed by Steve Crosby.</p>","{theater,music}","[""music"",""theater"",""comedy""]"
<p>w/ Boa Boys &amp; Madelyn Baier</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},"[""music"",""indoor-show"",""all-ages""]"
"<p>Spotlight Acting School proudly presents its rendition of <em>Elf the Musical JR.</em>, a heartwarming and delightful production performed by talented students aged 9-14. Under the expert direction of Sarah Jeck, Jazzlyn Threlkeld, and Kelly Fischer, the young actors bring to life the enchanting tale of Buddy the Elf and his adventures in New York City. The dedication and passion of the cast and crew promise an unforgettable theatrical experience for audiences of all ages.</p>","{theater,music}","[""theater"",""musical"",""youth"",""holiday""]"
<p>w/ Mama Said String Band</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},"[""music"",""indoor"",""all-ages""]"
"<p>UK School of Music Piano Studio Presents: Piano Ensemble Concert in Collaboration with the Department of Classical &amp; Modern Languages an ""Evening of Poetry and Music.""</p>",{music},"[""music"",""piano"",""classical"",""poetry"",""literary-arts"",""concert"",""collaboration""]"
"<p>For nearly four decades, <a href=""https://www.stilljournal.net/jack-wright-interview.php"" rel=""noopener noreferrer"" target=""_blank"">Jack</a> has contributed to the story of Appalachia through his varied media contributions as a documentarian, oral historian, teacher, actor, musician, and archivist, among other things.</p><p><em>Part of the Appalachia in the Bluegrass Series</em></p>",{music},"ERROR: HttpException: Unable to get a valid response from third party tag provider: [
    {
        ""status"": 429,
        ""headers"": {
            ""anthropic-ratelimit-requests-limit"": ""50"",
            ""anthropic-ratelimit-requests-remaining"": ""0"",
            ""anthropic-ratelimit-requests-reset"": ""2024-08-18T23:24:31Z"",
            ""anthropic-ratelimit-tokens-limit"": ""40000"",
            ""anthropic-ratelimit-tokens-remaining"": ""29000"",
            ""anthropic-ratelimit-tokens-reset"": ""2024-08-18T23:23:49Z"",
            ""cf-cache-status"": ""DYNAMIC"",
            ""cf-ray"": ""8b55a6faee5a82cc-IAD"",
            ""connection"": ""keep-alive"",
            ""content-length"": ""350"",
            ""content-type"": ""application/json"",
            ""date"": ""Sun, 18 Aug 2024 23:23:33 GMT"",
            ""request-id"": ""req_018JC3UpQguRrTSbVGfyaQtE"",
            ""retry-after"": ""59"",
            ""server"": ""cloudflare"",
            ""via"": ""1.1 google"",
            ""x-cloud-trace-context"": ""896b060b49a6bcea542bcb2e4e79670a"",
            ""x-robots-tag"": ""none"",
            ""x-should-retry"": ""true""
        },
        ""request_id"": ""req_018JC3UpQguRrTSbVGfyaQtE"",
        ""error"": {
            ""type"": ""error"",
            ""error"": {
                ""type"": ""rate_limit_error"",
                ""message"": ""Number of requests has exceeded your per-minute rate limit (https://docs.anthropic.com/en/api/rate-limits); see the response headers for current usage. Please try again later or contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""
            }
        }
    },
    {
        ""status"": 429,
        ""headers"": {
            ""anthropic-ratelimit-requests-limit"": ""50"",
            ""anthropic-ratelimit-requests-remaining"": ""0"",
            ""anthropic-ratelimit-requests-reset"": ""2024-08-18T23:25:31Z"",
            ""anthropic-ratelimit-tokens-limit"": ""40000"",
            ""anthropic-ratelimit-tokens-remaining"": ""15000"",
            ""anthropic-ratelimit-tokens-reset"": ""2024-08-18T23:25:09Z"",
            ""cf-cache-status"": ""DYNAMIC"",
            ""cf-ray"": ""8b55a86d4f523b8a-IAD"",
            ""connection"": ""keep-alive"",
            ""content-length"": ""350"",
            ""content-type"": ""application/json"",
            ""date"": ""Sun, 18 Aug 2024 23:24:32 GMT"",
            ""request-id"": ""req_01NbFtTmZfDc2XbnH5oggT7E"",
            ""retry-after"": ""59"",
            ""server"": ""cloudflare"",
            ""via"": ""1.1 google"",
            ""x-cloud-trace-context"": ""8d30c1007902281384832d1eacb66532"",
            ""x-robots-tag"": ""none"",
            ""x-should-retry"": ""true""
        },
        ""request_id"": ""req_01NbFtTmZfDc2XbnH5oggT7E"",
        ""error"": {
            ""type"": ""error"",
            ""error"": {
                ""type"": ""rate_limit_error"",
                ""message"": ""Number of requests has exceeded your per-minute rate limit (https://docs.anthropic.com/en/api/rate-limits); see the response headers for current usage. Please try again later or contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""
            }
        }
    },
    {
        ""status"": 429,
        ""headers"": {
            ""anthropic-ratelimit-requests-limit"": ""50"",
            ""anthropic-ratelimit-requests-remaining"": ""0"",
            ""anthropic-ratelimit-requests-reset"": ""2024-08-18T23:26:31Z"",
            ""anthropic-ratelimit-tokens-limit"": ""40000"",
            ""anthropic-ratelimit-tokens-remaining"": ""13000"",
            ""anthropic-ratelimit-tokens-reset"": ""2024-08-18T23:26:13Z"",
            ""cf-cache-status"": ""DYNAMIC"",
            ""cf-ray"": ""8b55a9e69df957fa-IAD"",
            ""connection"": ""keep-alive"",
            ""content-length"": ""350"",
            ""content-type"": ""application/json"",
            ""date"": ""Sun, 18 Aug 2024 23:25:32 GMT"",
            ""request-id"": ""req_01YRpmsvMs7oALZqXWhEYhY6"",
            ""retry-after"": ""59"",
            ""server"": ""cloudflare"",
            ""via"": ""1.1 google"",
            ""x-cloud-trace-context"": ""6c11998b606eef7618fa8904a868a780"",
            ""x-robots-tag"": ""none"",
            ""x-should-retry"": ""true""
        },
        ""request_id"": ""req_01YRpmsvMs7oALZqXWhEYhY6"",
        ""error"": {
            ""type"": ""error"",
            ""error"": {
                ""type"": ""rate_limit_error"",
                ""message"": ""Number of requests has exceeded your per-minute rate limit (https://docs.anthropic.com/en/api/rate-limits); see the response headers for current usage. Please try again later or contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""
            }
        }
    }
]"
<p>18 and up </p><p>Doors 7:00PM Show 8:00PM</p><p><br></p>,{music},"[""music"",""18-and-up""]"
